case_id,variant,service,attack_type,attack_severity,rho,mask_id,scenario_name,scenario_path,preferred_recovery_action,primary_model,fallback_model,recovery_success,recovery_strategy,replanned,trusted_service_restore_sec,preferred_restore_sec,planning_overhead_sec,repeated_work_sec,n_assignments,ablation_failure_reason
rq3f_00209,full_replica,detection,pgd,0.0,0.6,13,rho_0.600_mask_13,experiment2/generated/scenarios_multimask_FROZEN/rho_0.600_mask_13.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00213,full_replica,detection,pgd,0.0,0.6,14,rho_0.600_mask_14,experiment2/generated/scenarios_multimask_FROZEN/rho_0.600_mask_14.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00217,full_replica,detection,pgd,0.0,0.6,15,rho_0.600_mask_15,experiment2/generated/scenarios_multimask_FROZEN/rho_0.600_mask_15.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00221,full_replica,detection,pgd,0.0,0.6,16,rho_0.600_mask_16,experiment2/generated/scenarios_multimask_FROZEN/rho_0.600_mask_16.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00225,full_replica,detection,pgd,0.0,0.6,17,rho_0.600_mask_17,experiment2/generated/scenarios_multimask_FROZEN/rho_0.600_mask_17.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00229,full_replica,detection,pgd,0.0,0.6,18,rho_0.600_mask_18,experiment2/generated/scenarios_multimask_FROZEN/rho_0.600_mask_18.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00233,full_replica,detection,pgd,0.0,0.6,19,rho_0.600_mask_19,experiment2/generated/scenarios_multimask_FROZEN/rho_0.600_mask_19.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00237,full_replica,detection,pgd,0.0,0.6,20,rho_0.600_mask_20,experiment2/generated/scenarios_multimask_FROZEN/rho_0.600_mask_20.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00241,full_replica,detection,pgd,0.0,0.8,1,rho_0.800_mask_01,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_01.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00245,full_replica,detection,pgd,0.0,0.8,2,rho_0.800_mask_02,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_02.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00249,full_replica,detection,pgd,0.0,0.8,3,rho_0.800_mask_03,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_03.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00253,full_replica,detection,pgd,0.0,0.8,4,rho_0.800_mask_04,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_04.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00257,full_replica,detection,pgd,0.0,0.8,5,rho_0.800_mask_05,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_05.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00261,full_replica,detection,pgd,0.0,0.8,6,rho_0.800_mask_06,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_06.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
rq3f_00265,full_replica,detection,pgd,0.0,0.8,7,rho_0.800_mask_07,experiment2/generated/scenarios_multimask_FROZEN/rho_0.800_mask_07.json,no_recovery_required,yolo11n,yolov5s,True,no_recovery_required,False,0.0,0.0,0.0,0.0,0,
